Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.0.2-10.0.0.2-80-37361-6,10.0.0.2,37361,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1068861,8,7,326.0,6785.0,173.0,0.0,40.75000000000001,75.64343045783006,1985.0,0.0,969.2857142857143,936.7323905089283,6652.87628606526,14.033630191390648,76347.21428571429,266989.1012207106,1003471.0,14.0,1047636.0,149662.2857142857,376626.62497877755,1003471.0,25.0,1067874.0,177979.0,415031.4969469185,1024907.0,18.0,0,0,0,0,256,240,7.484602768741679,6.549027422648969,0.0,1985.0,444.4375,763.0793727828493,582290.1291666667,0,1,0,0,0,0,0,0,0.0,474.06666666666666,40.75,969.2857142857143,0,0,0,0,0,0,8,326,7,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37362-6,10.0.0.2,37362,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1068611,7,6,432.0,6785.0,226.0,0.0,61.714285714285715,105.55522138627137,3393.0,0.0,1130.8333333333335,1397.0300521701981,6753.626904458218,12.165324893717171,89050.91666666666,287760.8260020048,1002329.0,13.0,1046883.0,174480.5,405695.027487274,1002329.0,97.0,1067599.0,213519.8,453338.1742680623,1024255.0,196.0,0,0,0,0,224,208,6.5505595581554,5.6147653355617715,0.0,3393.0,515.4999999999999,1030.4710461352502,1061870.576923077,0,1,0,0,0,0,0,0,0.0,555.1538461538462,61.714285714285715,1130.8333333333333,0,0,0,0,0,0,7,432,6,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37363-6,10.0.0.2,37363,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1067246,7,6,364.0,6785.0,182.0,0.0,52.0,88.8069066383165,3392.0,0.0,1130.8333333333335,1396.828467159324,6698.5493503840735,12.18088425723779,88937.16666666666,288025.3441155462,1003083.0,12.0,1046478.0,174413.0,406092.4908761549,1003083.0,12.0,1066276.0,213255.2,453429.2714814517,1024175.0,13.0,0,0,0,0,224,208,6.558937676974194,5.621946580263595,0.0,3392.0,510.6428571428571,1031.9516690488695,1064924.2472527472,0,1,0,0,0,0,0,0,0.0,549.9230769230769,52.0,1130.8333333333333,0,0,0,0,0,0,7,364,6,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37364-6,10.0.0.2,37364,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1068201,7,6,442.0,6785.0,221.0,0.0,63.14285714285714,107.8369580608129,3392.0,0.0,1130.8333333333335,1555.361362084923,6765.5806351051915,12.16999422393351,89016.75,288064.73645191913,1003282.0,16.0,1047463.0,174577.16666666666,406115.48298601795,1003282.0,17.0,1067300.0,213460.0,453746.8795545596,1024943.0,19.0,0,0,0,0,224,208,6.553073812887275,5.616920411046236,0.0,3392.0,516.2142857142857,1114.086392076929,1241188.4890109892,0,1,0,0,0,0,0,0,0.0,555.9230769230769,63.142857142857146,1130.8333333333333,0,0,0,0,0,0,7,442,6,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37365-6,10.0.0.2,37365,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1067631,6,5,384.0,6785.0,202.0,0.0,64.0,99.34988676390124,3393.0,0.0,1357.0,1858.1488099719031,6714.866840696833,10.303185276560908,106763.1,315007.0287802939,1002873.0,30.0,1046948.0,209389.6,443688.2635046818,1002873.0,715.0,1066698.0,266674.5,505048.60484874784,1024114.0,794.0,0,0,0,0,192,176,5.6199192417604955,4.683266034800413,0.0,3393.0,597.4166666666667,1307.6405162340945,1709923.7196969695,0,1,0,0,0,0,0,0,0.0,651.7272727272727,64.0,1357.0,0,0,0,0,0,0,6,384,5,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37368-6,10.0.0.2,37368,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1067543,8,7,452.0,6785.0,226.0,0.0,56.500000000000014,104.6176712742983,1985.0,0.0,969.2857142857143,936.7323905089283,6779.1180308427865,14.05095626124662,76253.07142857142,266907.6459510824,1003099.0,6.0,1046838.0,149548.2857142857,376512.16924587986,1003099.0,40.0,1066713.0,177785.5,414865.9925121605,1024379.0,103.0,0,0,0,0,256,240,7.493843339331531,6.55711292191509,0.0,1985.0,452.31249999999994,760.2708042752486,578011.6958333333,0,1,0,0,0,0,0,0,0.0,482.46666666666664,56.5,969.2857142857143,0,0,0,0,0,0,8,452,7,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37366-6,10.0.0.2,37366,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1068215,7,6,334.0,6785.0,177.0,0.0,47.714285714285715,81.69193000885356,3392.0,0.0,1130.8333333333335,1555.361362084923,6664.3887232439165,12.169834724283033,89017.91666666666,287939.72106247843,1002896.0,7.0,1047567.0,174594.5,405911.18204195856,1002896.0,7.0,1067319.0,213463.8,453353.7658343647,1024244.0,18.0,0,0,0,0,224,208,6.552987928460095,5.616846795822939,0.0,3392.0,508.5,1116.464732985328,1246493.5,0,1,0,0,0,0,0,0,0.0,547.6153846153846,47.714285714285715,1130.8333333333333,0,0,0,0,0,0,7,334,6,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37367-6,10.0.0.2,37367,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1068724,6,5,364.0,6785.0,182.0,0.0,60.666666666666664,93.98439586796665,3393.0,0.0,1357.0,1858.1488099719031,6689.285540513734,10.292648055063795,106872.4,315109.275398657,1003285.0,27.0,1048178.0,209635.6,443786.92048752407,1003285.0,742.0,1067912.0,266978.0,505723.53296572354,1025434.0,958.0,0,0,0,0,192,176,5.614171666398434,4.678476388665362,0.0,3393.0,595.75,1308.2029398446487,1711394.9318181814,0,1,0,0,0,0,0,0,0.0,649.9090909090909,60.666666666666664,1357.0,0,0,0,0,0,0,6,364,5,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37369-6,10.0.0.2,37369,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1066260,8,7,326.0,6785.0,173.0,0.0,40.75000000000001,75.64343045783006,2816.0,0.0,969.2857142857143,1125.8257287114075,6669.105096317971,14.067863372910923,76161.42857142857,266645.5139583449,1002105.0,8.0,1045563.0,149366.14285714287,376152.69025597774,1002105.0,17.0,1065454.0,177575.6666666667,414350.8469095565,1023120.0,26.0,0,0,0,0,256,240,7.502860465552492,6.565002907358431,0.0,2816.0,444.4375,859.241833924924,738296.5291666667,0,1,0,0,0,0,0,0,0.0,474.06666666666666,40.75,969.2857142857143,0,0,0,0,0,0,8,326,7,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
10.128.0.2-10.0.0.2-80-37370-6,10.0.0.2,37370,10.128.0.2,80,6,02/08/2018 08:30:52 오후,1661447,6,6,464.0,6785.0,232.0,0.0,77.33333333333333,119.80428484268278,3393.0,0.0,1130.8333333333335,1751.8794954752643,4363.0642446012425,7.222619800691807,151040.63636363635,333297.98880349484,1003505.0,26.0,1640780.0,328156.0,460270.86970771896,1003505.0,134.0,1660416.0,332083.2,461320.5616008244,1023850.0,732.0,0,0,0,0,192,208,3.6113099003459035,3.6113099003459035,0.0,3393.0,557.6153846153846,1261.071207245487,1590300.58974359,0,1,0,0,0,0,0,0,1.0,604.0833333333334,77.33333333333333,1130.8333333333333,0,0,0,0,0,0,6,464,6,6785,-1,243,2,0,0,0,0,0,0,0,0,0,No Label
