Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.131-72.14.213.102-55950-80-6,192.168.3.131,55950,72.14.213.102,80,6,26/01/2011 03:52:22 오전,39098,3,2,944.0,0.0,944.0,0.0,314.66666666666663,545.0186541150067,0.0,0.0,0.0,0.0,24144.45751700854,127.88377922144355,9774.5,11066.038752266624,19931.0,47.0,20285.0,10142.5,13843.029455289041,19931.0,354.0,18766.0,18766.0,0.0,18766.0,18766.0,0,0,0,0,60,64,76.73026753286614,51.15351168857742,0.0,944.0,157.33333333333334,385.38638619788674,148522.6666666667,0,1,0,0,0,0,0,0,0.0,188.8,314.6666666666667,0.0,0,0,0,0,0,0,3,944,2,0,-1,5720,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.102-55950-80-6,72.14.213.102,80,192.168.3.131,55950,6,26/01/2011 03:52:22 오전,18294,2,2,487.0,0.0,487.0,0.0,243.5,344.36100243784864,0.0,0.0,0.0,0.0,26620.749972668633,218.65092380015304,6098.0,6268.820542972976,12597.0,88.0,5697.0,5697.0,0.0,5697.0,5697.0,12685.0,12685.0,0.0,12685.0,12685.0,0,0,0,0,40,40,109.32546190007652,109.32546190007652,0.0,487.0,97.4,217.79302100847954,47433.80000000001,0,0,0,0,1,0,0,0,1.0,121.75,243.5,0.0,0,0,0,0,0,0,2,487,2,0,-1,0,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-207.46.148.38-55955-80-6,192.168.3.131,55955,207.46.148.38,80,6,26/01/2011 03:52:23 오전,28123,2,3,448.0,279.0,448.0,0.0,224.0,316.7838379715733,279.0,0.0,93.0,161.0807251039056,25850.72716282047,177.79042065213528,7030.75,8034.399308597999,15455.0,52.0,269.0,269.0,0.0,269.0,269.0,28123.0,14061.5,2424.6691526886716,15776.0,12347.0,0,0,0,0,40,80,71.11616826085411,106.67425239128116,0.0,448.0,121.16666666666666,195.17009675323385,38091.36666666666,0,1,0,0,0,0,0,0,1.0,145.4,224.0,93.0,0,0,0,0,0,0,2,448,3,279,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-207.46.148.38-55955-80-6,192.168.3.131,55955,207.46.148.38,80,6,26/01/2011 03:52:23 오전,420,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4761.9047619047615,420.0,0.0,420.0,420.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2380.9523809523807,2380.9523809523807,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,63961,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-65.55.17.37-55954-80-6,192.168.3.131,55954,65.55.17.37,80,6,26/01/2011 03:52:23 오전,1763490,11,19,1837.0,24044.0,652.0,0.0,167.0,286.4475519183224,1460.0,0.0,1265.4736842105262,475.0322057410719,14676.011772110984,17.011721075821242,60810.00000000001,298797.5433523987,1613550.0,1.0,1746958.0,174695.8,505857.8471605986,1613550.0,242.0,1724957.0,95830.94444444445,383882.4009067593,1633540.0,1.0,0,0,0,0,220,396,6.237631061134455,10.774090014686786,0.0,1460.0,834.8709677419354,683.3460685936267,466961.84946236556,0,1,0,0,0,0,0,0,1.0,862.7,167.0,1265.4736842105262,0,0,0,0,0,0,11,1837,19,24044,-1,8190,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-208.82.236.129-58264-80-6,192.168.3.131,58264,208.82.236.129,80,6,26/01/2011 03:52:26 오전,123049,2,4,553.0,216.0,553.0,0.0,276.5,391.03004999616076,216.0,0.0,54.0,108.0,6249.542865037505,48.761062666092364,24609.8,34325.82026259533,71971.0,1.0,398.0,398.0,0.0,398.0,398.0,123049.0,41016.33333333333,37159.526387365775,72439.0,1.0,0,0,0,0,40,104,16.253687555364124,32.50737511072825,0.0,553.0,109.85714285714285,211.33892887289565,44664.14285714285,0,1,0,0,0,0,0,0,2.0,128.16666666666666,276.5,54.0,0,0,0,0,0,0,2,553,4,216,-1,4933,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-208.82.236.129-58264-80-6,192.168.3.131,58264,208.82.236.129,80,6,26/01/2011 03:52:26 오전,2293,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.2197993894462,2293.0,0.0,2293.0,2293.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,436.1098996947231,436.1098996947231,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16371,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-208.82.236.129-58265-80-6,192.168.3.131,58265,208.82.236.129,80,6,26/01/2011 03:52:26 오전,169098,3,8,606.0,6648.0,606.0,0.0,202.0,349.8742631289132,1460.0,0.0,831.0,722.572388860007,42898.20104318206,65.05103549421045,16909.8,27120.23251211374,66463.0,1.0,67662.0,33831.0,47408.68125143326,67354.0,308.0,169098.0,24156.85714285714,30127.916713178,66823.0,1.0,0,0,0,0,60,184,17.741191498421035,47.30984399578942,0.0,1460.0,604.5,684.9988055729466,469223.36363636353,0,1,0,0,0,0,0,0,2.0,659.4545454545455,202.0,831.0,0,0,0,0,0,0,3,606,8,6648,-1,4986,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-208.82.236.129-58265-80-6,192.168.3.131,58265,208.82.236.129,80,6,26/01/2011 03:52:26 오전,708,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2824.858757062147,708.0,0.0,708.0,708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1412.4293785310736,1412.4293785310736,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16425,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-65.54.95.142-55973-80-6,192.168.3.131,55973,65.54.95.142,80,6,26/01/2011 03:52:25 오전,3275419,13,26,388.0,33204.0,388.0,0.0,29.846153846153843,107.61183806769445,1460.0,0.0,1277.0769230769229,476.0753657207584,10255.787122197191,11.906873593882187,86195.23684210527,521338.9656775131,3215290.0,1.0,46407.0,3867.2499999999995,5403.436854531483,15275.0,133.0,3275419.0,131016.76000000001,642576.6762452219,3215310.0,1.0,0,0,0,0,260,544,3.968957864627396,7.937915729254792,0.0,1460.0,839.8000000000002,716.2981473502747,513083.03589743585,0,1,0,0,0,0,0,0,2.0,861.3333333333334,29.846153846153847,1277.076923076923,0,0,0,0,0,0,13,388,26,33204,-1,4106,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.105-57721-443-6,72.14.213.105,443,192.168.3.131,57721,6,26/01/2011 03:52:29 오전,875,2,1,37.0,61.0,37.0,0.0,18.5,26.16295090390226,61.0,61.0,61.0,0.0,112000.0,3428.5714285714284,437.5,617.304219975856,874.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0,40,20,2285.714285714286,1142.857142857143,0.0,61.0,39.75,28.81405906844782,830.25,0,0,0,1,1,0,0,0,0.0,53.0,18.5,61.0,0,0,0,0,0,0,2,37,1,61,-1,257,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.105-57721-443-6,192.168.3.131,57721,72.14.213.105,443,6,26/01/2011 03:52:29 오전,429,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662.004662004661,429.0,0.0,429.0,429.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2331.0023310023307,2331.0023310023307,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16213,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-208.82.236.129-58272-80-6,192.168.3.131,58272,208.82.236.129,80,6,26/01/2011 03:52:29 오전,165808,4,8,564.0,6584.0,564.0,0.0,141.0,282.0,1460.0,0.0,823.0,723.2174144553134,43110.10325195407,72.37286500048248,15073.454545454546,25371.94310794361,62532.0,1.0,114929.0,38309.666666666664,33441.461904847005,63514.0,372.0,165808.0,23686.85714285714,29054.643171264794,62977.0,1.0,0,0,0,0,80,184,24.12428833349416,48.24857666698832,0.0,1460.0,549.8461538461538,675.0143018427889,455644.3076923077,0,1,0,0,0,0,0,0,2.0,595.6666666666666,141.0,823.0,0,0,0,0,0,0,4,564,8,6584,-1,4944,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-208.82.236.129-58272-80-6,192.168.3.131,58272,208.82.236.129,80,6,26/01/2011 03:52:29 오전,478,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4184.100418410042,478.0,0.0,478.0,478.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2092.050209205021,2092.050209205021,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16239,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-65.54.95.140-55963-80-6,192.168.3.131,55963,65.54.95.140,80,6,26/01/2011 03:52:23 오전,6555247,9,13,1193.0,12579.0,398.0,0.0,132.55555555555554,198.83354288896473,1460.0,0.0,967.6153846153846,641.4390771878416,2100.912444641674,3.356090167159224,312154.61904761905,860119.8169451439,3742951.0,1.0,2799764.0,349970.5,516081.02428646944,1302411.0,179.0,6555247.0,546270.5833333334,1139860.9550555204,3742984.0,1.0,0,0,0,0,180,284,1.372945977474228,1.983144189684996,0.0,1460.0,598.782608695652,651.4649893977935,424406.6324110672,0,1,0,0,0,0,0,0,1.0,626.0,132.55555555555554,967.6153846153846,0,0,0,0,0,0,9,1193,13,12579,-1,4106,3,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-65.54.95.140-55963-80-6,192.168.3.131,55963,65.54.95.140,80,6,26/01/2011 03:52:30 오전,2872022,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6963734957462026,2872022.0,0.0,2872022.0,2872022.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.3481867478731013,0.3481867478731013,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16425,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-65.54.95.142-55973-80-6,192.168.3.131,55973,65.54.95.142,80,6,26/01/2011 03:52:28 오전,4865468,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41106014878733144,4865468.0,0.0,4865468.0,4865468.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.20553007439366572,0.20553007439366572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,16425,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-206.108.207.139-55960-80-6,192.168.3.131,55960,206.108.207.139,80,6,26/01/2011 03:52:23 오전,17753708,4,4,511.0,522.0,511.0,0.0,127.74999999999999,255.5,522.0,0.0,130.5,261.0,58.1850281642573,0.45061009226917553,2536244.0000000005,6609697.145426332,1.7524623E7,57.0,1.7743942E7,5914647.333333333,1.0055128132942231E7,1.7524623E7,341.0,19981.0,6660.333333333334,5096.239528645934,9709.0,777.0,0,0,0,0,80,104,0.22530504613458777,0.22530504613458777,0.0,522.0,114.77777777777777,227.77169368568266,51879.94444444445,0,1,0,0,0,0,0,0,1.0,129.125,127.75,130.5,0,0,0,0,0,0,4,511,4,522,-1,216,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-74.217.50.10-57038-80-6,192.168.3.131,57038,74.217.50.10,80,6,26/01/2011 03:52:41 오전,81750,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,24.464831804281346,81750.0,0.0,81750.0,81750.0,0,0,0,0,0,81750.0,81750.0,0.0,81750.0,81750.0,0,0,0,0,0,40,0.0,24.464831804281346,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,8190,0,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.102-52201-443-6,192.168.3.131,52201,72.14.213.102,443,6,26/01/2011 03:52:42 오전,48664,4,5,182.0,2043.0,182.0,0.0,45.5,90.99999999999999,1430.0,0.0,408.6,629.6624492535664,45721.68337991123,184.94164063784316,6083.0,8808.004330477721,20403.0,73.0,28188.0,9396.0,12008.714377484377,23007.0,296.0,43690.0,10922.5,10842.629616472195,20403.0,817.0,0,0,0,0,80,124,82.1962847279303,102.74535590991287,0.0,1430.0,222.5,466.5155112343235,217636.72222222222,0,1,0,0,0,0,0,0,1.0,247.22222222222223,45.5,408.6,0,0,0,0,0,0,4,182,5,2043,-1,107,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.102-52203-443-6,192.168.3.131,52203,72.14.213.102,443,6,26/01/2011 03:52:42 오전,48619,4,5,182.0,2043.0,182.0,0.0,45.5,90.99999999999999,1430.0,0.0,408.6,629.6624492535664,45764.00172771962,185.11281597729283,6077.375,9589.180300697539,21986.0,2.0,27690.0,9230.0,11991.149778065488,22879.0,389.0,44167.0,11041.75,12273.55488777939,22440.0,2.0,0,0,0,0,80,124,82.27236265657459,102.84045332071823,0.0,1430.0,222.5,466.5155112343235,217636.72222222222,0,1,0,0,0,0,0,0,1.0,247.22222222222223,45.5,408.6,0,0,0,0,0,0,4,182,5,2043,-1,107,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.102-52204-443-6,192.168.3.131,52204,72.14.213.102,443,6,26/01/2011 03:52:42 오전,49681,4,5,182.0,2043.0,182.0,0.0,45.5,90.99999999999999,1430.0,0.0,408.6,629.6624492535664,44785.732976389365,181.15577383708057,6210.125000000001,9527.883836965808,22400.0,25.0,27242.0,9080.666666666666,12184.434099839571,22970.0,193.0,45577.0,11394.25,11798.091212141055,22400.0,761.0,0,0,0,0,80,124,80.5136772609247,100.64209657615586,0.0,1430.0,222.5,466.5155112343235,217636.72222222222,0,1,0,0,0,0,0,0,1.0,247.22222222222223,45.5,408.6,0,0,0,0,0,0,4,182,5,2043,-1,107,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.102-52205-443-6,192.168.3.131,52205,72.14.213.102,443,6,26/01/2011 03:52:42 오전,48240,4,5,182.0,2043.0,182.0,0.0,45.5,90.99999999999999,1430.0,0.0,408.6,629.6624492535664,46123.54892205638,186.56716417910448,6030.0,9806.200560286916,22081.0,2.0,26664.0,8888.0,12239.933864200411,22893.0,239.0,44663.0,11165.75,12458.953978966292,22371.0,2.0,0,0,0,0,80,124,82.91873963515755,103.64842454394693,0.0,1430.0,222.5,466.5155112343235,217636.72222222222,0,1,0,0,0,0,0,0,1.0,247.22222222222223,45.5,408.6,0,0,0,0,0,0,4,182,5,2043,-1,107,1,0,0,0,0,0,0,0,0,0,No Label
192.168.3.131-72.14.213.102-52206-443-6,192.168.3.131,52206,72.14.213.102,443,6,26/01/2011 03:52:42 오전,48261,4,5,182.0,2043.0,182.0,0.0,45.5,90.99999999999999,1430.0,0.0,408.6,629.6624492535664,46103.47899960631,186.48598247031765,6032.625,9673.355761907475,21934.0,21.0,26871.0,8957.0,12670.40839910064,23509.0,370.0,45248.0,11312.0,12172.236113385248,22369.0,769.0,0,0,0,0,80,124,82.88265887569673,103.60332359462092,0.0,1430.0,222.5,466.5155112343235,217636.72222222222,0,1,0,0,0,0,0,0,1.0,247.22222222222223,45.5,408.6,0,0,0,0,0,0,4,182,5,2043,-1,107,1,0,0,0,0,0,0,0,0,0,No Label
