proto_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time
None,192.168.0.105,60018,212.113.50.2,443,6,0.33,64.83,43.33,6,0.0022
None,192.168.0.105,39192,151.236.76.124,443,6,0.33,64.83,40.0,6,0.0013
None,192.168.0.105,60098,212.113.50.2,443,6,0.33,64.83,40.83,6,0.0017
http,192.168.0.105,42692,47.254.145.67,80,6,0.0,60.0,0.0,1,0.0
None,192.168.0.105,49552,47.254.145.67,2081,6,0.0,60.0,0.0,1,0.0
None,192.168.0.105,48330,31.200.251.81,443,6,0.33,64.83,40.0,6,0.0018
None,192.168.0.105,55416,151.236.120.21,443,6,0.25,63.12,33.75,8,0.0019
None,192.168.0.105,55504,151.236.120.21,443,6,0.33,64.83,45.0,6,0.0018
None,192.168.0.105,49556,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.009
http,192.168.0.105,42696,47.254.145.67,80,6,0.0,60.0,0.0,4,0.009
None,192.168.0.105,42876,52.232.72.241,443,6,0.0,52.0,0.0,1,0.0
None,192.168.0.105,42874,52.232.72.241,443,6,0.0,52.0,0.0,1,0.0
None,192.168.0.105,60076,40.127.129.109,443,6,0.43,601.71,1559.86,7,0.0007
None,192.168.0.105,57782,34.197.96.220,443,6,0.09,54.82,10.0,11,0.1712
None,192.168.0.105,57784,34.197.96.220,443,6,0.1,55.1,11.2,10,0.1757
None,192.168.0.105,48650,91.228.155.121,443,6,0.29,60.71,25.57,7,0.0011
None,192.168.0.105,37068,31.200.251.17,443,6,0.33,64.83,39.33,6,0.0005
None,192.168.0.105,54634,52.178.207.179,443,6,0.0,49.6,0.0,5,0.7772
None,192.168.0.105,40066,52.162.166.27,443,6,0.0,49.6,0.0,5,0.7858
None,192.168.0.105,34844,64.233.165.95,443,6,0.0,52.0,0.0,6,1.1142
None,13.92.27.116,443,192.168.0.105,59030,6,0.53,256.18,589.4,57,1.303
None,192.168.0.105,41338,52.203.124.136,443,6,0.1,55.1,9.4,10,0.2874
None,192.168.0.105,50842,13.107.3.128,443,6,0.0,40.0,0.0,5,0.8243
None,192.168.0.105,33482,68.232.34.200,443,6,0.52,104.74,189.04,27,0.2184
None,192.168.0.105,43094,87.250.250.53,443,6,0.35,335.04,742.77,26,0.0034
None,192.168.0.105,33814,52.54.78.229,443,6,0.09,54.82,8.82,11,0.3335
None,192.168.0.105,49876,52.233.131.90,443,6,0.0,49.6,0.0,5,0.8529
None,192.168.0.105,40650,104.215.101.245,443,6,0.25,287.25,669.62,8,0.2896
None,192.168.0.105,49562,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0224
http,192.168.0.105,42702,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0224
None,64.233.165.189,443,192.168.0.105,60446,6,0.53,106.21,159.0,19,0.4687
None,192.168.0.105,48328,13.93.149.41,443,6,0.0,49.6,0.0,5,0.8801
None,192.168.0.105,57830,13.93.107.73,443,6,0.3,413.4,981.05,20,0.1148
None,192.168.0.105,32828,13.91.45.229,443,6,0.0,49.6,0.0,5,0.895
None,192.168.0.105,43185,13.69.188.18,443,6,0.59,215.82,472.18,17,1.3762
None,192.168.0.105,35214,13.79.147.101,443,6,0.12,646.47,1719.06,17,0.1505
None,192.168.0.105,35210,13.79.147.101,443,6,0.17,540.83,1403.67,12,0.218
None,192.168.0.105,60045,13.107.17.20,443,6,0.2,56.5,42.4,10,0.0054
None,192.168.0.105,24094,13.107.17.20,443,6,0.2,56.5,43.0,10,0.0049
None,192.168.0.105,37298,52.114.74.11,443,6,0.45,349.39,831.03,33,0.8067
None,192.168.0.105,60308,40.127.129.109,443,6,0.33,590.97,1523.46,39,0.0498
None,192.168.0.105,35208,13.79.147.101,443,6,0.0,49.6,0.0,5,0.9467
None,192.168.0.105,35216,13.79.147.101,443,6,0.0,49.6,0.0,5,0.9407
None,192.168.0.105,35716,13.81.81.48,443,6,0.0,49.6,0.0,5,0.971
None,192.168.0.105,59260,52.142.195.191,443,6,0.0,49.6,0.0,5,0.9702
None,192.168.0.105,35206,13.79.147.101,443,6,0.0,49.6,0.0,5,0.9429
None,192.168.0.105,35212,13.79.147.101,443,6,0.0,49.6,0.0,5,0.9497
None,192.168.0.105,57220,40.68.210.8,443,6,0.0,52.0,0.0,4,0.638
None,192.168.0.105,38608,152.199.19.160,443,6,0.25,52.5,38.62,8,0.3133
None,192.168.0.105,49572,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0145
http,192.168.0.105,42712,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0145
None,192.168.0.105,42872,52.232.72.241,443,6,0.0,49.6,0.0,5,0.989
None,192.168.0.105,41442,23.59.116.104,443,6,0.0,52.0,0.0,4,0.6938
None,192.168.0.105,41440,23.59.116.104,443,6,0.0,52.0,0.0,4,0.6941
None,192.168.0.105,34300,152.199.20.1,443,6,0.0,40.0,0.0,4,0.7517
None,192.168.0.105,49576,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0895
http,192.168.0.105,42716,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0898
None,192.168.0.105,41444,23.59.116.104,443,6,0.0,52.0,0.0,4,0.7582
None,13.107.3.128,443,192.168.0.105,50852,6,0.0,40.0,0.0,1,0.0
None,192.168.0.105,46292,13.33.44.80,443,6,0.57,78.29,86.29,7,0.816
None,192.168.0.105,34236,64.233.165.138,443,6,0.57,78.29,86.86,7,0.8153
None,192.168.0.105,33894,52.54.78.229,443,6,0.2,342.56,775.12,41,0.5
http,192.168.0.105,58218,18.184.0.157,80,6,0.07,568.89,518.59,46,0.1171
None,192.168.0.105,49584,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.091
http,192.168.0.105,42724,47.254.145.67,80,6,0.0,60.0,0.0,4,0.091
None,213.180.204.179,443,192.168.0.105,55194,6,0.5,94.5,128.0,4,0.928
None,192.168.0.105,34158,64.233.165.138,443,6,0.57,78.29,82.0,7,0.7916
None,192.168.0.105,57326,151.236.65.14,443,6,0.67,82.67,94.67,3,0.0013
None,192.168.0.105,49588,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0829
http,192.168.0.105,42728,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0819
None,192.168.0.105,49592,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0822
http,192.168.0.105,42732,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0822
None,192.168.0.105,49596,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.1003
http,192.168.0.105,42736,47.254.145.67,80,6,0.0,60.0,0.0,4,0.1
None,192.168.0.105,60338,40.127.129.109,443,6,0.38,505.15,1261.92,26,0.2518
None,192.168.0.105,49602,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0934
http,192.168.0.105,42742,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0934
None,192.168.0.105,43140,87.250.250.53,443,6,0.35,335.04,751.35,26,0.0092
None,192.168.0.105,49608,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0893
http,192.168.0.105,42748,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0893
None,192.168.0.105,49612,47.254.145.67,2081,6,0.0,60.0,0.0,4,0.0885
http,192.168.0.105,42752,47.254.145.67,80,6,0.0,60.0,0.0,4,0.0885
None,52.114.74.4,443,192.168.0.105,60374,6,0.0,40.0,0.0,1,0.0
None,192.168.0.105,49616,47.254.145.67,2081,6,0.0,60.0,0.0,3,0.0409
http,192.168.0.105,42756,47.254.145.67,80,6,0.0,60.0,0.0,3,0.0409
